Filetype: AmiTool Amiibo Name DB
Version: 1
Mario - Soccer: 09c0010102690e02
Croque: 03490001018d0502
Daruk: 0105000003580902
Tulin: 010b000004a50902
Yunobo: 010c000004a60902
Sidon: 010a000004a40902
Riju: 0109000004a30902
Chops: 0486000100fc0502
Shovel Knight - Gold Edition: 35c0000003920a02
Bowser - Wedding: 0005000003730102
DJ KK: 0182010100460502
Saharah: 01a6000103b70502
Jitters: 02310001006a0502
Mipha: 01070000035a0902
Tsukino: 35070000040e0f02
Coach: 0251000100c10502
Erik: 02df000101910502
Tammi: 03fc000101470502
Gigi: 03480001006b0502
Biskit: 02ed0001015a0502
Ken: 34c1000003890002
Sable: 0187000100470502
Brewster: 0190000101710502
Lyman: 03c50001015c0502
Cyrano: 0200000100a10502
Broccolo: 0418000100d80502
Winnie: 03a9000100710502
Midge: 0235000100840502
Cally: 04e8000101ce0502
Qurupeco and Dan: 3504010002e60f02
Vladimir: 0283000100c70502
Leopold: 03ea0001030b0502
Maelle: 030a000101c70502
Callie: 08010000025d0402
Callie - Alterna: 0801000004360402
Toby: 04a80101031e0502
Coco: 0496000100d90502
Sprocket: 0439000103110502
Jack: 01ad000100b80502
Pawapuro: 3800000103931702
Banjo & Kazooie: 3b40000003a30002
Sylvia: 03d7000101b40502
Whitney: 050e000100d70502
Redd - Shirt: 01a80101017e0502
Min Min: 0a400000041d0002
Peach - Soccer: 09c2010102730e02
Sherb: 0a09000103c00502
Stinky: 026a000101460502
Francine: 04a00001016e0502
Roald: 0460000100a50502
Boo - Horse Racing: 09cb050102a40e02
Monique: 02680001007d0502
Tybalt: 04fc000102ee0502
Melba: 03be000101980502
Luigi - Soccer: 09c10101026e0e02
Chrom: 2108000003880002
Meta Knight: 1f01000000270002
Nibbles: 04e1000101be0502
Marie: 08020000025e0402
Marie - Alterna: 0802000004370402
Marty: 028f0101031a0502
Spork/Crackle: 047d0001012e0502
Boo - Soccer: 09cb010102a00e02
King Knight: 35c30000036e0a02
Inkling Squid: 0800030000400402
Henry: 034b0001009f0502
Blathers: 0192000002470502
Revali: 01080000035b0902
Timbra: 04cf000100e10502
Ed: 03aa000100e60502
Sable: 0187000103b00502
Keaton: 0453000101040502
Hugh: 047b000100f50502
Wart Jr.: 033d0001013a0502
Kicks: 0194000100aa0502
Shrunk: 01b1000100b20502
Eugene: 03c6000100930502
Pecan: 04e0000100f70502
Lucario: 1ac0000000110002
Sparro: 023f000101660502
Toon Zelda - The Wind Waker: 0101000003520902
Isabelle - Dress: 0181030101700502
Kabuki: 0266000100680502
Eloise: 0326000101390502
Gala: 04850001014c0502
Tex: 046b000101970502
Reese: 018a000002450502
Bianca: 0500000100e70502
Mario: 0000000000340102
Mario - My Mario Wooden Blocks: 00000004043f1c02
Mii Gunner: 07c0020000230002
Peach - Wedding: 0002000003720102
Cephalobot: 0a17000103ce0502
Gwen: 0464000100c00502
Donkey Kong - Soccer: 09c70101028c0e02
Kevin: 0487000101bf0502
Blaire: 04de000100ce0502
Wolfgang: 050d000101420502
Yoshi - Tennis: 09c40301027f0e02
Resetti: 018e000100490502
Peggy: 0483000101b00502
Link - Twilight Princess: 01000000034d0902
Boyd: 036e000102fb0502
One-Eyed Rathalos and Rider - Male: 3500010002e10f02
Gabi: 0499000100df0502
T-Bone: 024f000100810502
Wario - Tennis: 09c5030102840e02
Fox: 0580000000050002
Inkling Squid - Orange: 0800030002610402
Ganondorf - Tears of the Kingdom: 01020100041a0902
Boris: 0481000102f10502
Antonio: 02010001016a0502
Murphy: 0284000102fe0502
Wade: 0468000102f20502
Stitches - Amiibo Festival: 0282000101d60502
Pascal: 01a40001004d0502
Wisp: 0a06000103ba0502
Fuchsia: 02dc000100be0502
Jigglypuff: 1927000000260002
Tucker: 032c000101480502
Link - Ocarina of Time: 01000000034b0902
Boo - Baseball: 09cb020102a10e02
Peach - Golf: 09c2040102760e02
Elvis: 03e70001012a0502
Pichu: 19ac000003850002
Pearl: 0803000003760402
Pearl - Side Order: 0803000004380402
Shino: 0a14000103cb0502
Link - Majora's Mask: 01000000034c0902
Lottie - Black Skirt And Bow: 01c10101017a0502
Vivian: 0513000102e70502
Bettina: 041b000100f10502
Alex: 3dc1000004230002
Lyle: 01aa000100530502
Walker: 02f0000100a70502
Ozzie: 03c1000100bb0502
Turbo Charge Donkey Kong: 0008ff00023b0702
Sterling: 0452000100730502
Isabelle - Character Parfait: 0181000101d40502
Claude: 049f000103010502
Goldie - Amiibo Festival: 02ea000101d50502
Fauna: 02d6000100560502
Ankha: 0270000100ff0502
Gulliver: 01a2000103b90502
Kid Cat: 0267000101080502
Romin Kirishima: 3843000104271902
Katt: 0272000101860502
Piranha Plant: 00240000038d0002
Rex: 03e8000102f50502
Beau: 02dd000100ea0502
Bokoblin: 01410000035c0902
Rosalina - Baseball: 09cf020102b50e02
Mewtwo: 19960000023d0002
Bertha: 0393000100a00502
Shadow Mewtwo: 1d000001025c0d02
Puck: 04650001006e0502
Urbosa: 0106000003590902
Rosie: 025f000101c50502
Byleth: 210b000003a50002
Spike: 04b40001030c0502
Link - Link's Awakening: 0100000003990902
Moose: 041a000100e00502
8-Bit Mario Modern Color: 0000000002390602
Cobb: 04800001008d0502
Diddy Kong - Soccer: 09c8010102910e02
Portia: 02ef000100580502
Benedict: 029a000100ee0502
Pudge: 0280000100830502
Jay: 022d000100f20502
Shovel Knight: 35c0000002500a02
Loot Goblin: 38c0000003911602
Tabby: 02690001011f0502
Kody: 0281000101200502
Bowser Jr. - Horse Racing: 09ca0501029f0e02
Apollo: 044b0001016c0502
Timmy & Tommy: 0184050103a90502
Maple: 027e000101690502
Dr. Mario: 0000010000190002
Baby Mario - Horse Racing: 09cc050102a90e02
Baby Luigi - Tennis: 09cd030102ac0e02
Annalisa: 0208000100960502
Tia: 032d000100bc0502
Yuka: 03bc0001008a0502
Tom Nook: 0183000002420502
Pate: 0309000100c60502
Kirby: 1f000000000a0002
Carmen: 04a4000100d40502
Phineas: 019c000101730502
Lily: 03380001011d0502
Bob: 025d000100550502
Nabiru: 3501000002e30f02
Cyrus: 018b000101150502
Palamute: 350a000004111802
Isabelle: 0181040103aa0502
Kazuya: 33c0000004200002
Falco: 05810000001c0002
Savannah: 03a6000100c80502
Lucas: 2281000002510002
Phil: 043d0001007c0502
Pete: 019f000101110502
Graham: 0380000101870502
Barioth and Ayuria: 3503010002e50f02
Freckles: 030e0001012f0502
Roswell: 0a1f000103d60502
Bowser: 0005000000140002
Benjamin: 02fa000100970502
Samus - Metroid Dread: 05c0000004121302
Lopez: 02db0001005e0502
Willow: 04cc000100a40502
Jambette: 03450001005f0502
Charizard: 1906000000240002
Mira: 04a7000101a60502
Mario - Cat: 0000030003a60102
Shrunk - Loud Jacket: 01b10101017b0502
Raymond: 0a0f000103c60502
Ione: 0a12000103c90502
Molly: 0317000100a60502
Gracie: 01a9000101760502
Tiki: 2109000003701202
Hans: 0373000101340502
Nat: 019b000100b60502
Tommy - Suit: 0186030101750502
Mega Man - Gold Edition: 3480000002580002
Timmy - Full Apron: 0185020101170502
Zelda - Tears of the Kingdom: 0101000004190902
Felicity: 026e000100ba0502
Gulliver: 01a20001017d0502
Waluigi - Baseball: 09c6020102880e02
Blathers: 01920001010d0502
Kirby: 1f00000002540c02
Rodeo: 024b000101260502
Baby Mario - Golf: 09cc040102a80e02
Kitt: 03d1000100c20502
Prince: 0344000100c50502
K. K. Slider - Pikopuri: 0182000101d80502
Olimar: 06400100001e0002
Clyde: 03ae000100870502
Ruby: 049d000100ed0502
Groucho: 021a000100da0502
King Dedede: 1f02000000280002
Roy: 2104000002520002
Malzeno: 350b0000042d1802
Mario - Wedding: 0000000003710102
Light Blue Yarn Yoshi: 0003010200430302
Baabara: 04c6000101670502
Mr. Game & Watch: 07800000002d0002
Captain Falcon: 0600000000120002
Static: 04e5000101ad0502
Rod: 0411000101ab0502
Bitty: 0395000102fc0502
Peach - Cat: 0002010003a70102
Buzz: 044e000103150502
Blathers: 0192000103ad0502
Bonbon: 04a5000100740502
Rolf: 04fa000101680502
Queenie: 0436000101940502
Diana: 02de0001009c0502
Hayakawa: 3803000103961702
Alice: 03bd000100f90502
Wario: 0007000002630102
Paula: 021e000101230502
Metal Mario - Golf: 09d0040102bc0e02
Piper: 0232000102ea0502
Meta Knight: 1f01000002550c02
Ribbot: 0339000101b10502
Hornsby: 04b6000102ec0502
Timmy - Suit: 0185040101790502
Wilbur: 0a01000103ac0502
Ellie: 032a000103070502
Bluebear: 027d000100630502
Bowser Jr.: 0006000000150002
Shulk: 22400000002b0002
Daisy: 0013000002660102
Bowser - Soccer: 09c9010102960e02
Sally: 04e4000101b60502
Sasha: 0a11000103c80502
Robin: 21030000002a0002
Patty: 02b1000100690502
Gloria: 0316000101c00502
K.K. Slider: 0182000100a80502
Simon: 03fb000101cf0502
Link - Tears of the Kingdom: 0100000004180902
Papi: 03b0000101a90502
Dizzy: 0324000101890502
Chow: 0217000101b30502
Tipper: 02b2000100c40502
Leonardo: 04fe000100590502
Toon Link: 0100010000160002
Pango: 0202000101030502
R.O.B. - NES: 0781000000330002
Pink Gold Peach - Baseball: 09d1020102bf0e02
Pac-Man: 3340000000320002
Marlo: 0a15000103cc0502
Luigi - Tennis: 09c1030102700e02
Lottie: 01c1000100540502
Peach - Tennis: 09c2030102750e02
Poncho: 027f000100b90502
Mott: 03ec000101830502
Zucker: 042b000101af0502
Daisy - Power Up Band: 00130003039eff02
Mega Man: 3480000000310002
Gruff: 035a000100850502
Metroid: 05c1000003661302
Pompom: 030c000101b80502
Celeste: 0193000103ae0502
Cashmere: 04c90001030d0502
Diva: 034a000101430502
Truffles: 0479000100920502
Marina: 042a0001012d0502
Nana: 03fa000100d00502
Bowser Jr. - Tennis: 09ca0301029d0e02
Inkling Boy - Purple: 0800020002600402
Eunice: 04c7000100940502
Bowser - Horse Racing: 09c90501029a0e02
Donkey Kong: 0008000000030002
Toad - Power Up Band: 000a000303a0ff02
Rory: 03ed000101a30502
Egbert: 029b000100cb0502
Mario: 0000000000000002
Rosalina - Soccer: 09cf010102b40e02
Link - Skyward Sword: 01000000034e0902
Cheri: 02870001005a0502
Tom Nook: 0183020103a80502
Luigi - Horse Racing: 09c1050102720e02
Yoshi - Soccer: 09c40101027d0e02
Mathilda: 03d2000100e50502
Mario - Tennis: 09c00301026b0e02
Inkling Squid - Neon Purple: 08000300036b0402
Pietro: 04d2000101a70502
Baby Mario - Tennis: 09cc030102a70e02
Diddy Kong - Baseball: 09c8020102920e02
Drake: 0310000100f80502
Dobie: 050f000103140502
Peach: 0002000000360102
Donkey Kong - Baseball: 09c70201028d0e02
Zoe: 0a1a000103d10502
Tom Nook: 0183000100450502
Nan: 0357000100eb0502
Yoshi - Baseball: 09c40201027e0e02
Peach: 0002000000010002
Peach - My Mario Wooden Blocks: 0002000404411c02
Waluigi: 0014000002670102
K.K. Slider: 0182000103b20502
Victoria: 03a50001015b0502
Kitty: 026b000100e90502
Rizzo: 0415000101bb0502
Diddy Kong - Golf: 09c8040102940e02
Agent S: 04e2000101090502
Greninja: 1b92000000250002
Peach - Baseball: 09c2020102740e02
Flora: 043f000101550502
Cole: 04a6000100a30502
Octavian: 0429000100700502
Koopa Troopa: 0023000003680102
Friga: 0463000101310502
Cousteau: 0342000101280502
Don Resetti - Without Hat: 018f010101190502
Tiansheng: 0a13000103ca0502
Becky: 02a2000101ba0502
Klaus: 0222000101440502
Chadder: 041e0001015f0502
Inkling Girl - Neon Pink: 0800010003690402
Goomba: 0015000003670102
Bayonetta - Player 2: 3240010003640002
Mario - Gold Edition: 00000000003c0102
Zero Suit Samus: 05c00100001d0002
Mario - Power Up Band: 00000003039bff02
Pit: 0740000000100002
Dotty: 0495000101920502
Katie: 01b6000100ae0502
Sheik: 0101010000170002
Pink Gold Peach - Horse Racing: 09d1050102c20e02
Jingle: 01af0001011c0502
Lolly: 026f000101900502
Inkling Girl - Lime Green: 08000100025f0402
Metal Mario - Horse Racing: 09d0050102bd0e02
Octoling - Blue: 08050200041b0402
Alm: 2106000003601202
Richter: 37c10000038c0002
Jeremiah: 033f0001008f0502
Bowser - Golf: 09c9040102990e02
Booker: 019e000100ad0502
Lucky: 02ec000101c40502
K. K. Slider: 0182000002400502
Luna: 01b5000100510502
Doc: 049e000101b70502
Celia: 0454000101ae0502
Hippeux: 0399000101c20502
Baby Luigi - Soccer: 09cd010102aa0e02
Poppy: 04ec000100770502
Tank: 04b2000101b90502
Lottie - Island: 01c1020103bb0502
Marcel: 02f9000101020502
Reese: 018a000100a90502
Pikmin: 06420000035f1102
Buck: 03a40001014f0502
Ricky: 04e7000101320502
Cube: 0461000101610502
Yuga Ohdo: 3840000104241902
Birdo - Soccer: 09ce010102af0e02
Daisy - Tennis: 09c30301027a0e02
Astrid: 03d6000101570502
Isabelle - Winter Outfit: 01810100023f0502
Celeste: 0193000002480502
Pink Yarn Yoshi: 0003010200420302
Ganda: 3804000103971702
Daisy - Baseball: 09c3020102790e02
Bowser - Tennis: 09c9030102980e02
Boomer: 0469000101640502
Diddy Kong: 0009000002650102
Diddy Kong - Power Up Band: 000900030432ff02
Canberra: 03c40001012b0502
Pink Gold Peach - Golf: 09d1040102c10e02
Chief: 050b000100990502
Inkling Boy - Neon Green: 08000200036a0402
Biff: 0394000100890502
Little Mac: 06c00000000f0002
Julian: 03b1000100f00502
Moe: 0265000101540502
Baby Mario - Baseball: 09cc020102a60e02
Phyllis: 01a1000101100502
Megan: 0a0a000103c10502
Green Yarn Yoshi: 0003010200410302
Maddie: 02f3000102f90502
Wendy: 04ce000100db0502
Peanut: 04dd000100a20502
Chabwick: 0a19000103d00502
Leila: 0198000100b10502
Pyra: 22410000041e0002
Rilla: 0374010103190502
Villager: 0180000000080002
Mabel: 0188000103af0502
Tiffany: 049b000100610502
Bowser Jr. - Golf: 09ca0401029e0e02
Waddle Dee: 1f03000002570c02
Del: 02c7000101220502
Cookie: 02f2000100cc0502
Donkey Kong - Tennis: 09c70301028e0e02
Isabelle: 01810000037d0002
Ryu: 34c0000002530002
Luke: 34c2000004aa1d02
Luke: 34c2000104ab1d02
Jamie: 34c3000004ac1d02
Jamie: 34c3000104ad1d02
Manon: 34cc000104b71d02
Kimberly: 34c4000004ae1d02
Kimberly: 34c4000104af1d02
Marisa: 34cd000104b81d02
Lily: 34d0000104bb1d02
JP: 34ce000104b91d02
Juri: 34c7000104b21d02
Dee Jay: 34cb000104b61d02
Cammy: 34d1000104bc1d02
Ryu: 34c0000104a81d02
E. Honda: 34ca000104b51d02
Blanka: 34c8000104b31d02
Guile: 34c6000104b11d02
Ken: 34c1000104a91d02
Chun-Li: 34c5000104b01d02
Zangief: 34cf000104ba1d02
Dhalsim: 34c9000104b41d02
Rashid: 34d2000104bd1d02
A.K.I: 34d3000104be1d02
Ed: 34d4000104bf1d02
Akuma: 34d5000104c01d02
M. Bison: 34d6000104e11d02
Terry: 3c80000104e81d02
Mai: 3c81000104f21d02
Elena: 34d8000104e31d02
Sagat: 34d9000104e41d02
C. Viper: 34da000104e51d02
Alex: 34db000104e61d02
Ingrid: 34dc000104e71d02
Luke: 34c2000104cd1d02
Jamie: 34c3000104ce1d02
Manon: 34cc000104d71d02
Kimberly: 34c4000104cf1d02
Marisa: 34cd000104d81d02
Lily: 34d0000104db1d02
JP: 34ce000104d91d02
Juri: 34c7000104d21d02
Dee Jay: 34cb000104d61d02
Cammy: 34d1000104dc1d02
Ryu: 34c0000104cb1d02
E. Honda: 34ca000104d51d02
Blanka: 34c8000104d31d02
Guile: 34c6000104d11d02
Ken: 34c1000104cc1d02
Chun-Li: 34c5000104d01d02
Zangief: 34cf000104da1d02
Dhalsim: 34c9000104d41d02
Rashid: 34d2000104dd1d02
A.K.I: 34d3000104de1d02
Ed: 34d4000104df1d02
Akuma: 34d5000104e01d02
M. Bison: 34d6000104eb1d02
Terry: 3c80000104f11d02
Mai: 3c81000104f31d02
Elena: 34d8000104ec1d02
Sagat: 34d9000104ed1d02
C. Viper: 34da000104ee1d02
Alex: 34db000104ef1d02
Ingrid: 34dc000104f01d02
Harry: 0398000100bf0502
Deli: 0401000100660502
Chelsea: 02e00101031d0502
Ganondorf: 01020100001b0002
Daisy - Golf: 09c30401027b0e02
Pink Gold Peach - Tennis: 09d1030102c00e02
Bud: 03e6000100ec0502
Joker: 3a00000003a10002
Al: 03710001005c0502
Elise: 03fe000101a40502
Dark Samus: 05c3000003800002
Marcie: 03db0001006d0502
Curt: 0216000100570502
Kyle: 05150001005b0502
Corrin - Player 2: 2105010003630002
Angus: 024a000101d10502
Curly: 0478000101630502
Yoshi - Power Up Band: 00030003039fff02
Mario - Golf: 09c00401026c0e02
Baby Luigi - Golf: 09cd040102ad0e02
Wario - Horse Racing: 09c5050102860e02
Bowser Jr. - Baseball: 09ca0201029c0e02
Isabelle - Kimono: 01810201011a0502
Drift: 033c000101000502
Margie: 0327000101c30502
Mallary: 030d000101840502
Bowser - Baseball: 09c9020102970e02
King Dedede: 1f02000002560c02
Ena: 35060000040d0f02
Luigi - Baseball: 09c10201026f0e02
Duck Hunt: 07820000002f0002
Cleo: 03ab000103160502
Digby - Raincoat: 018c010101180502
Rosalina - Horse Racing: 09cf050102b80e02
Cyd: 0a0d000103c40502
Bowser: 0005000000390102
Faith: 0a20000103d70502
Annalise: 03ad000101b20502
Mario - Silver Edition: 00000000003d0102
Incineroar: 1bd7000003860002
Yoshi - Horse Racing: 09c4050102810e02
Sly: 02c9000100cd0502
Goose: 0299000100950502
Marina: 0804000003770402
Marina - Side Order: 0804000004390402
Bayonetta: 32400000025b0002
Joey: 03080001014d0502
Pokemon Trainer: 1d40000003870002
Tangy: 0262000101370502
Pancetti: 0488000100980502
Ridley: 05c20000037f0002
Donkey Kong - Golf: 09c70401028f0e02
Louie: 036d000103040502
Dora: 040c000101590502
Broffina: 02a50001018c0502
Blanche: 043e000101490502
Mario - Horse Racing: 09c00501026d0e02
Lionel: 03ee0001008b0502
Jacques: 023d000101b50502
Vesta: 04c5000101010502
Chevre: 0356000101350502
Shep: 02fc0001018f0502
Specter Knight: 35c20000036d0a02
Fang: 0511000101950502
Isabelle - Sweater: 0181050103bf0502
Snake: 04970001007a0502
Rio: 0a1c000103d30502
Pekoe: 028b000100e30502
Celeste: 0193000101740502
Norma: 02b70001030f0502
Butch: 02eb000100de0502
Marshal: 04ee0001014b0502
Octoling Octopus: 0805030003900402
8-Bit Mario Classic Color: 0000000002380602
Olivia: 0260000100d20502
Zelda: 01010000000e0002
Samus Aran: 05c0000003651302
Zell: 02d8000100e20502
